source_id,target_id,source,target,weight
A5087200373,A5007044119,Suhyeon Kim,Junghye Lee,1
SCO_zhao_h,SCO_chen_j,"Zhao, H.","Chen, J.",1
SCO_zhao_h,SCO_guo_s,"Zhao, H.","Guo, S.",1
SCO_zhao_h,SCO_li_z,"Zhao, H.","Li, Z.",1
SCO_zhao_h,SCO_yan_l,"Zhao, H.","Yan, L.",1
SCO_chen_j,SCO_guo_s,"Chen, J.","Guo, S.",1
SCO_chen_j,SCO_li_z,"Chen, J.","Li, Z.",1
SCO_chen_j,SCO_yan_l,"Chen, J.","Yan, L.",1
SCO_guo_s,SCO_li_z,"Guo, S.","Li, Z.",1
SCO_guo_s,SCO_yan_l,"Guo, S.","Yan, L.",1
SCO_li_z,SCO_yan_l,"Li, Z.","Yan, L.",1
A5071355773,A5011360928,J. Santos,Daniel Canedo,1
A5071355773,A5043337599,J. Santos,António J. R. Neves,1
A5011360928,A5043337599,Daniel Canedo,António J. R. Neves,1
A5101226861,A5026122088,Waner Xu,Daojuan Wang,1
A5119735519,A5018376689,Sara Ashour,Christiane Fröhlich,1
A5119735519,A5066002912,Sara Ashour,Jonas Luckmann,1
A5066002912,A5018376689,Jonas Luckmann,Christiane Fröhlich,1
A5036058188,A5086499441,Yingtong Wang,Bei Lin,1
A5036058188,A5108138526,Yingtong Wang,X. B. Ji,1
A5108138526,A5086499441,X. B. Ji,Bei Lin,1
A5092769890,A5026563387,Djihad Arrar,Tarmo Kalvet,1
A5092769890,A5068897535,Djihad Arrar,Chahinez Ounoughi,1
A5092769890,A5069727403,Djihad Arrar,Marek Tiits,1
A5092769890,A5070511935,Djihad Arrar,Sadok Ben Yahia,1
A5092769890,A5075337649,Djihad Arrar,Nadjet Kamel,1
A5068897535,A5026563387,Chahinez Ounoughi,Tarmo Kalvet,1
A5068897535,A5069727403,Chahinez Ounoughi,Marek Tiits,1
A5068897535,A5070511935,Chahinez Ounoughi,Sadok Ben Yahia,1
A5068897535,A5075337649,Chahinez Ounoughi,Nadjet Kamel,1
A5075337649,A5026563387,Nadjet Kamel,Tarmo Kalvet,1
